Model,R2,RMSE,MAE
Baseline: persistence (t-1),-0.039205966599711095,427.809109633858,341.28571428571433
RandomForest,-0.24651868350234651,468.5420878356701,454.6517676581348
Baseline: 3-yr rolling mean,-0.5646151048643715,524.931907299973,511.40000000000003
XGBoost,-0.59113957014723,529.3627167173626,497.17277483258937
GradientBoosting,-0.6298112768133353,535.7570214647939,496.6967683792774
