Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","694","Sierra Leone","5510","Production","122","Sweet potatoes","2018","2018","t","157033","A","Official figure",""
"QCL","Crops and livestock products","694","Sierra Leone","5312","Area harvested","122","Sweet potatoes","2019","2019","ha","18675","A","Official figure",""
"QCL","Crops and livestock products","694","Sierra Leone","5412","Yield","122","Sweet potatoes","2019","2019","kg/ha","9571.8","A","Official figure",""
"QCL","Crops and livestock products","694","Sierra Leone","5510","Production","122","Sweet potatoes","2019","2019","t","178753","A","Official figure",""
"QCL","Crops and livestock products","694","Sierra Leone","5312","Area harvested","122","Sweet potatoes","2020","2020","ha","24424","A","Official figure",""
"QCL","Crops and livestock products","694","Sierra Leone","5412","Yield","122","Sweet potatoes","2020","2020","kg/ha","7984.6","A","Official figure",""
"QCL","Crops and livestock products","694","Sierra Leone","5510","Production","122","Sweet potatoes","2020","2020","t","195016","A","Official figure",""
"QCL","Crops and livestock products","694","Sierra Leone","5312","Area harvested","122","Sweet potatoes","2021","2021","ha","33020","A","Official figure",""
"QCL","Crops and livestock products","694","Sierra Leone","5412","Yield","122","Sweet potatoes","2021","2021","kg/ha","8020.4","A","Official figure",""
"QCL","Crops and livestock products","694","Sierra Leone","5510","Production","122","Sweet potatoes","2021","2021","t","264835.94","A","Official figure",""
"QCL","Crops and livestock products","694","Sierra Leone","5312","Area harvested","122","Sweet potatoes","2022","2022","ha","31479","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","694","Sierra Leone","5412","Yield","122","Sweet potatoes","2022","2022","kg/ha","8056.3","E","Estimated value",""
"QCL","Crops and livestock products","694","Sierra Leone","5510","Production","122","Sweet potatoes","2022","2022","t","253601.16","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","694","Sierra Leone","5312","Area harvested","122","Sweet potatoes","2023","2023","ha","33736","A","Official figure",""
"QCL","Crops and livestock products","694","Sierra Leone","5412","Yield","122","Sweet potatoes","2023","2023","kg/ha","7905.4","A","Official figure",""
"QCL","Crops and livestock products","694","Sierra Leone","5510","Production","122","Sweet potatoes","2023","2023","t","266696","A","Official figure",""
"QCL","Crops and livestock products","694","Sierra Leone","5312","Area harvested","122","Sweet potatoes","2024","2024","ha","31045","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","694","Sierra Leone","5412","Yield","122","Sweet potatoes","2024","2024","kg/ha","8208.3","E","Estimated value",""
"QCL","Crops and livestock products","694","Sierra Leone","5510","Production","122","Sweet potatoes","2024","2024","t","254822.83","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","694","Sierra Leone","5312","Area harvested","136","Taro","2000","2000","ha","960","A","Official figure",""
"QCL","Crops and livestock products","694","Sierra Leone","5412","Yield","136","Taro","2000","2000","kg/ha","2437.5","A","Official figure",""
"QCL","Crops and livestock products","694","Sierra Leone","5510","Production","136","Taro","2000","2000","t","2340","A","Official figure",""
"QCL","Crops and livestock products","694","Sierra Leone","5312","Area harvested","136","Taro","2001","2001","ha","1000","E","Estimated value",""
"QCL","Crops and livestock products","694","Sierra Leone","5412","Yield","136","Taro","2001","2001","kg/ha","2500","E","Estimated value",""
"QCL","Crops and livestock products","694","Sierra Leone","5510","Production","136","Taro","2001","2001","t","2500","E","Estimated value",""
"QCL","Crops and livestock products","694","Sierra Leone","5312","Area harvested","136","Taro","2002","2002","ha","1052","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","694","Sierra Leone","5412","Yield","136","Taro","2002","2002","kg/ha","2471.4","E","Estimated value",""
"QCL","Crops and livestock products","694","Sierra Leone","5510","Production","136","Taro","2002","2002","t","2600","E","Estimated value",""
"QCL","Crops and livestock products","694","Sierra Leone","5312","Area harvested","136","Taro","2003","2003","ha","1050","E","Estimated value",""
"QCL","Crops and livestock products","694","Sierra Leone","5412","Yield","136","Taro","2003","2003","kg/ha","2500","E","Estimated value",""
"QCL","Crops and livestock products","694","Sierra Leone","5510","Production","136","Taro","2003","2003","t","2625","E","Estimated value",""
"QCL","Crops and livestock products","694","Sierra Leone","5312","Area harvested","136","Taro","2004","2004","ha","1080","E","Estimated value",""
"QCL","Crops and livestock products","694","Sierra Leone","5412","Yield","136","Taro","2004","2004","kg/ha","2592.6","E","Estimated value",""
"QCL","Crops and livestock products","694","Sierra Leone","5510","Production","136","Taro","2004","2004","t","2800","E","Estimated value",""
"QCL","Crops and livestock products","694","Sierra Leone","5312","Area harvested","136","Taro","2005","2005","ha","1100","E","Estimated value",""
"QCL","Crops and livestock products","694","Sierra Leone","5412","Yield","136","Taro","2005","2005","kg/ha","2500","E","Estimated value",""
"QCL","Crops and livestock products","694","Sierra Leone","5510","Production","136","Taro","2005","2005","t","2750","E","Estimated value",""
"QCL","Crops and livestock products","694","Sierra Leone","5312","Area harvested","136","Taro","2006","2006","ha","1100","E","Estimated value",""
"QCL","Crops and livestock products","694","Sierra Leone","5412","Yield","136","Taro","2006","2006","kg/ha","2636.4","E","Estimated value",""
"QCL","Crops and livestock products","694","Sierra Leone","5510","Production","136","Taro","2006","2006","t","2900","E","Estimated value",""
"QCL","Crops and livestock products","694","Sierra Leone","5312","Area harvested","136","Taro","2007","2007","ha","1150","E","Estimated value",""
"QCL","Crops and livestock products","694","Sierra Leone","5412","Yield","136","Taro","2007","2007","kg/ha","2434.8","E","Estimated value",""
"QCL","Crops and livestock products","694","Sierra Leone","5510","Production","136","Taro","2007","2007","t","2800","E","Estimated value",""
"QCL","Crops and livestock products","694","Sierra Leone","5312","Area harvested","136","Taro","2008","2008","ha","1000","E","Estimated value",""
"QCL","Crops and livestock products","694","Sierra Leone","5412","Yield","136","Taro","2008","2008","kg/ha","2500","E","Estimated value",""
"QCL","Crops and livestock products","694","Sierra Leone","5510","Production","136","Taro","2008","2008","t","2500","E","Estimated value",""
"QCL","Crops and livestock products","694","Sierra Leone","5312","Area harvested","136","Taro","2009","2009","ha","1100","E","Estimated value",""
"QCL","Crops and livestock products","694","Sierra Leone","5412","Yield","136","Taro","2009","2009","kg/ha","2500","E","Estimated value",""
"QCL","Crops and livestock products","694","Sierra Leone","5510","Production","136","Taro","2009","2009","t","2750","E","Estimated value",""
"QCL","Crops and livestock products","694","Sierra Leone","5312","Area harvested","136","Taro","2010","2010","ha","1150","E","Estimated value",""
"QCL","Crops and livestock products","694","Sierra Leone","5412","Yield","136","Taro","2010","2010","kg/ha","2434.8","E","Estimated value",""
"QCL","Crops and livestock products","694","Sierra Leone","5510","Production","136","Taro","2010","2010","t","2800","E","Estimated value",""
"QCL","Crops and livestock products","694","Sierra Leone","5312","Area harvested","136","Taro","2011","2011","ha","1158","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","694","Sierra Leone","5412","Yield","136","Taro","2011","2011","kg/ha","2489.2","E","Estimated value",""
"QCL","Crops and livestock products","694","Sierra Leone","5510","Production","136","Taro","2011","2011","t","2882.67","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","694","Sierra Leone","5312","Area harvested","136","Taro","2012","2012","ha","1198","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","694","Sierra Leone","5412","Yield","136","Taro","2012","2012","kg/ha","2503.7","E","Estimated value",""
"QCL","Crops and livestock products","694","Sierra Leone","5510","Production","136","Taro","2012","2012","t","3000","E","Estimated value",""
"QCL","Crops and livestock products","694","Sierra Leone","5312","Area harvested","136","Taro","2013","2013","ha","1200","E","Estimated value",""
"QCL","Crops and livestock products","694","Sierra Leone","5412","Yield","136","Taro","2013","2013","kg/ha","2583.3","E","Estimated value",""
"QCL","Crops and livestock products","694","Sierra Leone","5510","Production","136","Taro","2013","2013","t","3100","E","Estimated value",""
"QCL","Crops and livestock products","694","Sierra Leone","5312","Area harvested","136","Taro","2014","2014","ha","1224","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","694","Sierra Leone","5412","Yield","136","Taro","2014","2014","kg/ha","2565.2","E","Estimated value",""
"QCL","Crops and livestock products","694","Sierra Leone","5510","Production","136","Taro","2014","2014","t","3141.04","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","694","Sierra Leone","5312","Area harvested","136","Taro","2015","2015","ha","1127","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","694","Sierra Leone","5412","Yield","136","Taro","2015","2015","kg/ha","2547.9","E","Estimated value",""
"QCL","Crops and livestock products","694","Sierra Leone","5510","Production","136","Taro","2015","2015","t","2871.03","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","694","Sierra Leone","5312","Area harvested","136","Taro","2016","2016","ha","1184","E","Estimated value",""
"QCL","Crops and livestock products","694","Sierra Leone","5412","Yield","136","Taro","2016","2016","kg/ha","2565.8","E","Estimated value",""
"QCL","Crops and livestock products","694","Sierra Leone","5510","Production","136","Taro","2016","2016","t","3037.36","E","Estimated value",""
"QCL","Crops and livestock products","694","Sierra Leone","5312","Area harvested","136","Taro","2017","2017","ha","1199","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","694","Sierra Leone","5412","Yield","136","Taro","2017","2017","kg/ha","2567","E","Estimated value",""
"QCL","Crops and livestock products","694","Sierra Leone","5510","Production","136","Taro","2017","2017","t","3079.04","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","694","Sierra Leone","5312","Area harvested","136","Taro","2018","2018","ha","1198","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","694","Sierra Leone","5412","Yield","136","Taro","2018","2018","kg/ha","2582.4","E","Estimated value",""
"QCL","Crops and livestock products","694","Sierra Leone","5510","Production","136","Taro","2018","2018","t","3094.59","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","694","Sierra Leone","5312","Area harvested","136","Taro","2019","2019","ha","1193","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","694","Sierra Leone","5412","Yield","136","Taro","2019","2019","kg/ha","2596.4","E","Estimated value",""
"QCL","Crops and livestock products","694","Sierra Leone","5510","Production","136","Taro","2019","2019","t","3096.38","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","694","Sierra Leone","5312","Area harvested","136","Taro","2020","2020","ha","1187","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","694","Sierra Leone","5412","Yield","136","Taro","2020","2020","kg/ha","2594.5","E","Estimated value",""
"QCL","Crops and livestock products","694","Sierra Leone","5510","Production","136","Taro","2020","2020","t","3078.56","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","694","Sierra Leone","5312","Area harvested","136","Taro","2021","2021","ha","1146","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","694","Sierra Leone","5412","Yield","136","Taro","2021","2021","kg/ha","2596.5","E","Estimated value",""
"QCL","Crops and livestock products","694","Sierra Leone","5510","Production","136","Taro","2021","2021","t","2975.63","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","694","Sierra Leone","5312","Area harvested","136","Taro","2022","2022","ha","1132","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","694","Sierra Leone","5412","Yield","136","Taro","2022","2022","kg/ha","2589.8","E","Estimated value",""
"QCL","Crops and livestock products","694","Sierra Leone","5510","Production","136","Taro","2022","2022","t","2930.52","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","694","Sierra Leone","5312","Area harvested","136","Taro","2023","2023","ha","1155","E","Estimated value",""
"QCL","Crops and livestock products","694","Sierra Leone","5412","Yield","136","Taro","2023","2023","kg/ha","2505.1","E","Estimated value",""
"QCL","Crops and livestock products","694","Sierra Leone","5510","Production","136","Taro","2023","2023","t","2892.73","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","694","Sierra Leone","5312","Area harvested","136","Taro","2024","2024","ha","1144","E","Estimated value",""
"QCL","Crops and livestock products","694","Sierra Leone","5412","Yield","136","Taro","2024","2024","kg/ha","2563.5","E","Estimated value",""
"QCL","Crops and livestock products","694","Sierra Leone","5510","Production","136","Taro","2024","2024","t","2932.96","E","Estimated value",""
"QCL","Crops and livestock products","694","Sierra Leone","5312","Area harvested","667","Tea leaves","2022","2022","ha","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","694","Sierra Leone","5510","Production","667","Tea leaves","2022","2022","t","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","694","Sierra Leone","5312","Area harvested","667","Tea leaves","2023","2023","ha","644","E","Estimated value",""
"QCL","Crops and livestock products","694","Sierra Leone","5412","Yield","667","Tea leaves","2023","2023","kg/ha","7500","E","Estimated value",""
"QCL","Crops and livestock products","694","Sierra Leone","5510","Production","667","Tea leaves","2023","2023","t","4830.95","A","Official figure",""
"QCL","Crops and livestock products","694","Sierra Leone","5312","Area harvested","667","Tea leaves","2024","2024","ha","640","E","Estimated value",""
"QCL","Crops and livestock products","694","Sierra Leone","5412","Yield","667","Tea leaves","2024","2024","kg/ha","7500","E","Estimated value",""
"QCL","Crops and livestock products","694","Sierra Leone","5510","Production","667","Tea leaves","2024","2024","t","4800","E","Estimated value",""
"QCL","Crops and livestock products","694","Sierra Leone","5312","Area harvested","388","Tomatoes","2000","2000","ha","1209","A","Official figure",""
"QCL","Crops and livestock products","694","Sierra Leone","5412","Yield","388","Tomatoes","2000","2000","kg/ha","9925.6","E","Estimated value",""
"QCL","Crops and livestock products","694","Sierra Leone","5510","Production","388","Tomatoes","2000","2000","t","12000","E","Estimated value",""
"QCL","Crops and livestock products","694","Sierra Leone","5312","Area harvested","388","Tomatoes","2001","2001","ha","1350","E","Estimated value",""
